SizeRank,RegionName,StateName,Year,Average House Price,Median Income,Ratio
43,Montana,MT,2012,205341.75,45088,4.55
37,Nebraska,NE,2012,127598.42,52196,2.44
34,Nevada,NV,2012,139204.5,47333,2.94
41,New Hampshire,NH,2012,213424.67,67819,3.15
10,New Jersey,NJ,2012,289680.58,66692,4.34
35,New Mexico,NM,2012,165923.17,43424,3.82
2,New York,NY,2012,243598.92,47680,5.11
9,North Carolina,NC,2012,153133.67,41553,3.69
47,North Dakota,ND,2012,176634.17,55766,3.17
6,Ohio,OH,2012,112818.92,44375,2.54
27,Oklahoma,OK,2012,106129.08,48407,2.19
26,Oregon,OR,2012,215687.25,51775,4.17
5,Pennsylvania,PA,2012,161605.5,51904,3.11
42,Rhode Island,RI,2012,225003.42,56065,4.01
23,South Carolina,SC,2012,147229.42,44401,3.32
45,South Dakota,SD,2012,156524.92,49415,3.17
16,Tennessee,TN,2012,134757.08,42995,3.13
1,Texas,TX,2012,138078.33,51926,2.66
33,Utah,UT,2012,204713.92,58341,3.51
48,Vermont,VT,2012,228057,55582,4.10
11,Virginia,VA,2012,233170.17,64632,3.61
12,Washington,WA,2012,225901.83,62187,3.63
36,West Virginia,WV,2012,92224,43553,2.12
19,Wisconsin,WI,2012,142350.25,53079,2.68
50,Wyoming,WY,2012,202674.58,57512,3.52
22,Alabama,AL,2013,120395.5,41381,2.91
46,Alaska,AK,2013,246822.5,61137,4.04
15,Arizona,AZ,2013,177180.75,50602,3.50
31,Arkansas,AR,2013,107292.25,39919,2.69
0,California,CA,2013,368782.08,57528,6.41
21,Colorado,CO,2013,249773.67,63371,3.94
28,Connecticut,CT,2013,244972.92,67781,3.61
44,Delaware,DE,2013,216818.42,52219,4.15
49,District of Columbia,DC,2013,479473.83,60675,7.90
3,Florida,FL,2013,158766.92,47886,3.32
8,Georgia,GA,2013,135215.08,47439,2.85
39,Hawaii,HI,2013,506550.08,61408,8.25
38,Idaho,ID,2013,170849.33,51767,3.30
4,Illinois,IL,2013,164188.33,57196,2.87
14,Indiana,IN,2013,117248.67,50553,2.32
29,Iowa,IA,2013,125125.92,54855,2.28
32,Kansas,KS,2013,123461.67,51485,2.40
25,Kentucky,KY,2013,113559.67,42158,2.69
24,Louisiana,LA,2013,151269.08,39622,3.82
40,Maine,ME,2013,190324.33,50121,3.80
18,Maryland,MD,2013,269005.58,65262,4.12
13,Massachusetts,MA,2013,327257.42,62963,5.20
7,Michigan,MI,2013,109666.25,48801,2.25
20,Minnesota,MN,2013,182580.75,60907,3.00
30,Mississippi,MS,2013,105386.33,40850,2.58
17,Missouri,MO,2013,126695.17,50311,2.52
43,Montana,MT,2013,214591.92,44132,4.86
37,Nebraska,NE,2013,133072.33,53774,2.47
34,Nevada,NV,2013,172059,45369,3.79
41,New Hampshire,NH,2013,220932.17,71322,3.10
10,New Jersey,NJ,2013,293956.17,61782,4.76
35,New Mexico,NM,2013,168139.25,42127,3.99
2,New York,NY,2013,248124.92,53843,4.61
9,North Carolina,NC,2013,155602.33,41208,3.78
47,North Dakota,ND,2013,194011.5,52888,3.67
6,Ohio,OH,2013,114566.33,46398,2.47
27,Oklahoma,OK,2013,108519.08,43777,2.48
26,Oregon,OR,2013,236969.42,56307,4.21
5,Pennsylvania,PA,2013,163286.92,53952,3.03
42,Rhode Island,RI,2013,232438,57812,4.02
23,South Carolina,SC,2013,149641.75,43749,3.42
